Admission Month,Admissions
2018-10,8
2018-11,145
2018-12,150
2019-01,178
2019-02,138
2019-03,152
2019-04,180
2019-05,165
2019-06,167
2019-07,181
2019-08,151
2019-09,161
2019-10,159
2019-11,160
2019-12,181
2020-01,171
2020-02,159
2020-03,179
2020-04,176
2020-05,195
2020-06,171
2020-07,154
2020-08,175
2020-09,150
2020-10,159
2020-11,182
2020-12,173
2021-01,162
2021-02,164
2021-03,180
2021-04,164
2021-05,169
2021-06,175
2021-07,168
2021-08,182
2021-09,160
2021-10,176
2021-11,183
2021-12,180
2022-01,162
2022-02,167
2022-03,178
2022-04,171
2022-05,156
2022-06,174
2022-07,151
2022-08,151
2022-09,175
2022-10,207
2022-11,150
2022-12,159
2023-01,164
2023-02,150
2023-03,161
2023-04,150
2023-05,157
2023-06,146
2023-07,173
2023-08,186
2023-09,155
2023-10,174
